"1995/01/01;00:00:00" 4204 <
"1995/03/15;00:00:00" 2705 <
"1995/03/16;00:00:00" 2560 <
"1995/03/17;00:00:00" 2502 <
"1995/03/18;00:00:00" 2535 <
"1995/03/19;00:00:00" 2619 <
"1995/03/20;00:00:00" 3003 <
"1995/03/21;00:00:00" 3753 <
"1995/03/22;00:00:00" 4707 <
"1995/03/23;00:00:00" 5454 <
"1995/03/24;00:00:00" 5541 <
"1995/03/25;00:00:00" 5063 <
"1995/03/26;00:00:00" 4520 <
"1995/03/27;00:00:00" 4119 <
"1995/03/28;00:00:00" 3960 <
"1995/03/29;00:00:00" 3924 <
"1995/03/30;00:00:00" 4067 <
"1995/03/31;00:00:00" 4338 <
"1995/04/01;00:00:00" 4485 <
"1995/04/02;00:00:00" 4431 <
"1995/04/03;00:00:00" 4392 <
"1995/04/04;00:00:00" 4402 <
"1995/04/05;00:00:00" 4307 <
"1995/04/06;00:00:00" 4148 <
"1995/04/07;00:00:00" 3923 <
"1995/04/08;00:00:00" 3681 <
"1995/04/09;00:00:00" 3466 <
"1995/04/10;00:00:00" 3275 <
"1995/04/11;00:00:00" 3153 <
"1995/04/12;00:00:00" 3028 <
"1995/04/13;00:00:00" 2915 <
"1995/04/14;00:00:00" 2799 <
"1995/04/15;00:00:00" 2683 <
"1995/04/16;00:00:00" 2593 <
"1995/04/17;00:00:00" 2539 <
"1995/04/18;00:00:00" 2533 <
"1995/04/19;00:00:00" 2597 <
"1995/04/20;00:00:00" 2798 <
"1995/04/21;00:00:00" 3245 <
"1995/04/22;00:00:00" 3684 <
"1995/04/23;00:00:00" 3788 <
"1995/04/24;00:00:00" 3552 <
"1995/04/25;00:00:00" 3248 <
"1995/04/26;00:00:00" 2968 <
"1995/04/27;00:00:00" 2785 <
"1995/04/28;00:00:00" 2777 <
"1995/04/29;00:00:00" 2970 <
"1995/04/30;00:00:00" 3167 <
"1995/05/01;00:00:00" 3275 <
"1995/05/02;00:00:00" 3252 <
"1995/05/03;00:00:00" 3141 <
"1995/05/04;00:00:00" 2996 <
"1995/05/05;00:00:00" 2847 <
"1995/05/06;00:00:00" 2718 <
"1995/05/07;00:00:00" 2593 <
"1995/05/08;00:00:00" 2504 <
"1995/05/09;00:00:00" 2458 <
"1995/05/10;00:00:00" 2418 <
"1995/05/11;00:00:00" 2387 <
"1995/05/12;00:00:00" 2365 <
"1995/05/13;00:00:00" 2342 <
"1995/05/14;00:00:00" 2312 <
"1995/05/15;00:00:00" 2298 <
"1995/05/16;00:00:00" 2361 <
"1995/05/17;00:00:00" 2530 <
"1995/05/18;00:00:00" 2751 <
"1995/05/19;00:00:00" 2893 <
"1995/05/20;00:00:00" 3003 <
"1995/05/21;00:00:00" 3121 <
"1995/05/22;00:00:00" 3151 <
"1995/05/23;00:00:00" 3088 <
"1995/05/24;00:00:00" 2969 <
"1995/05/25;00:00:00" 2812 <
"1995/05/26;00:00:00" 2686 <
"1995/05/27;00:00:00" 2602 <
"1995/05/28;00:00:00" 2509 <
"1995/05/29;00:00:00" 2555 <
"1995/05/30;00:00:00" 2655 <
"1995/05/31;00:00:00" 2641 <
"1995/06/01;00:00:00" 2576 <
"1995/06/02;00:00:00" 2617 <
"1995/06/03;00:00:00" 2745 <
"1995/06/04;00:00:00" 3177 <
"1995/06/05;00:00:00" 3667 <
"1995/06/06;00:00:00" 4003 <
"1995/06/07;00:00:00" 4139 <
"1995/06/08;00:00:00" 4082 <
"1995/06/09;00:00:00" 3916 <
"1995/06/10;00:00:00" 3760 <
"1995/06/11;00:00:00" 3610 <
"1995/06/12;00:00:00" 3432 <
"1995/06/13;00:00:00" 3307 <
"1995/06/14;00:00:00" 3229 <
"1995/06/15;00:00:00" 3266 <
"1995/06/16;00:00:00" 3354 <
"1995/06/17;00:00:00" 3501 <
"1995/06/18;00:00:00" 3628 <
"1995/06/19;00:00:00" 3599 <
"1995/06/20;00:00:00" 3466 <
"1995/06/21;00:00:00" 3308 <
"1995/06/22;00:00:00" 3152 <
"1995/06/23;00:00:00" 3000 <
"1995/06/24;00:00:00" 2878 <
"1995/06/25;00:00:00" 2832 <
"1995/06/26;00:00:00" 2835 <
"1995/06/27;00:00:00" 2817 <
"1995/06/28;00:00:00" 2740 <
"1995/06/29;00:00:00" 2658 <
"1995/06/30;00:00:00" 2546 <
"1995/07/01;00:00:00" 2446 <
"1995/07/02;00:00:00" 2358 <
"1995/07/03;00:00:00" 2275 <
"1995/07/04;00:00:00" 2313 <
"1995/07/05;00:00:00" 2319 <
"1995/07/06;00:00:00" 2330 <
"1995/07/07;00:00:00" 2360 <
"1995/07/08;00:00:00" 2354 <
"1995/07/09;00:00:00" 2298 <
"1995/07/10;00:00:00" 2232 <
"1995/07/11;00:00:00" 2185 <
"1995/07/12;00:00:00" 2151 <
"1995/07/13;00:00:00" 2157 <
"1995/07/14;00:00:00" 2183 <
"1995/07/15;00:00:00" 2127 <
"1995/07/16;00:00:00" 2089 <
"1995/07/17;00:00:00" 2143 <
"1995/07/18;00:00:00" 2191 <
"1995/07/19;00:00:00" 2228 <
"1995/07/20;00:00:00" 2210 <
"1995/07/21;00:00:00" 2139 <
"1995/07/22;00:00:00" 2074 <
"1995/07/23;00:00:00" 2004 <
"1995/07/24;00:00:00" 1952 <
"1995/07/25;00:00:00" 2132 <
"1995/07/26;00:00:00" 2321 <
"1995/07/27;00:00:00" 2290 <
"1995/07/28;00:00:00" 2220 <
"1995/07/29;00:00:00" 2087 <
"1995/07/30;00:00:00" 1995 <
"1995/07/31;00:00:00" 1956 <
"1995/08/01;00:00:00" 1929 <
"1995/08/02;00:00:00" 1856 <
"1995/08/03;00:00:00" 1765 <
"1995/08/04;00:00:00" 1685 <
"1995/08/05;00:00:00" 1633 <
"1995/08/06;00:00:00" 1574 <
"1995/08/07;00:00:00" 1532 <
"1995/08/08;00:00:00" 1482 <
"1995/08/09;00:00:00" 1448 <
"1995/08/10;00:00:00" 1463 <
"1995/08/11;00:00:00" 1528 <
"1995/08/12;00:00:00" 1557 <
"1995/08/13;00:00:00" 1598 <
"1995/08/14;00:00:00" 1668 <
"1995/08/15;00:00:00" 1623 <
"1995/08/16;00:00:00" 1613 <
"1995/08/17;00:00:00" 1658 <
"1995/08/18;00:00:00" 1675 <
"1995/08/19;00:00:00" 1640 <
"1995/08/20;00:00:00" 1566 <
"1995/08/21;00:00:00" 1506 <
"1995/08/22;00:00:00" 1456 <
"1995/08/23;00:00:00" 1427 <
"1995/08/24;00:00:00" 1405 <
"1995/08/25;00:00:00" 1429 <
"1995/08/26;00:00:00" 1494 <
"1995/08/27;00:00:00" 1497 <
"1995/08/28;00:00:00" 1467 <
"1995/08/29;00:00:00" 1453 <
"1995/08/30;00:00:00" 1474 <
"1995/08/31;00:00:00" 1574 <
"1995/09/01;00:00:00" 1719 <
"1995/09/02;00:00:00" 1919 <
"1995/09/03;00:00:00" 2095 <
"1995/09/04;00:00:00" 2149 <
"1995/09/05;00:00:00" 2116 <
"1995/09/06;00:00:00" 2078 <
"1995/09/07;00:00:00" 2011 <
"1995/09/08;00:00:00" 1969 <
"1995/09/09;00:00:00" 1960 <
"1995/09/10;00:00:00" 1917 <
"1995/09/11;00:00:00" 1872 <
"1995/09/12;00:00:00" 1871 <
"1995/09/13;00:00:00" 1886 <
"1995/09/14;00:00:00" 1889 <
"1995/09/15;00:00:00" 1904 <
"1995/09/16;00:00:00" 2008 <
"1995/09/17;00:00:00" 2155 <
"1995/09/18;00:00:00" 2258 <
"1995/09/19;00:00:00" 2285 <
"1995/09/20;00:00:00" 2212 <
"1995/09/21;00:00:00" 2109 <
"1995/09/22;00:00:00" 2126 <
"1995/09/23;00:00:00" 2314 <
"1995/09/24;00:00:00" 2415 <
"1995/09/25;00:00:00" 2356 <
"1995/09/26;00:00:00" 2269 <
"1995/09/27;00:00:00" 2192 <
"1995/09/28;00:00:00" 2241 <
"1995/09/29;00:00:00" 2202 <
"1995/09/30;00:00:00" 2161 <
"1995/10/01;00:00:00" 2162 <
"1995/10/02;00:00:00" 2232 <
"1995/10/03;00:00:00" 2222 <
"1995/10/04;00:00:00" 2142 <
"1995/10/05;00:00:00" 2085 <
"1995/10/06;00:00:00" 2116 <
"1995/10/07;00:00:00" 2106 <
"1995/10/08;00:00:00" 2019 <
"1995/10/09;00:00:00" 1909 <
"1995/10/10;00:00:00" 1812 <
"1995/10/11;00:00:00" 1704 <
"1995/10/12;00:00:00" 1613 <
"1995/10/13;00:00:00" 1559 <
"1995/10/14;00:00:00" 1511 <
"1995/10/15;00:00:00" 1465 <
"1995/10/16;00:00:00" 1412 <
"1995/10/17;00:00:00" 1374 <
"1995/10/18;00:00:00" 1350 <
"1995/10/19;00:00:00" 1326 <
"1995/10/20;00:00:00" 1285 <
"1995/10/21;00:00:00" 1248 <
"1995/10/22;00:00:00" 1226 <
"1995/10/23;00:00:00" 1203 <
"1995/10/24;00:00:00" 1184 <
"1995/10/25;00:00:00" 1165 <
"1995/10/26;00:00:00" 1140 <
"1995/10/27;00:00:00" 1118 <
"1995/10/28;00:00:00" 1101 <
"1995/10/29;00:00:00" 1092 <
"1995/10/30;00:00:00" 1080 <
"1995/10/31;00:00:00" 1099 <
"1995/11/01;00:00:00" 1185 <
"1995/11/02;00:00:00" 1247 <
"1995/11/03;00:00:00" 1268 <
"1995/11/04;00:00:00" 1243 <
"1995/11/05;00:00:00" 1253 <
"1995/11/06;00:00:00" 1300 <
"1995/11/07;00:00:00" 1334 <
"1995/11/08;00:00:00" 1326 <
"1995/11/09;00:00:00" 1296 <
"1995/11/10;00:00:00" 1240 <
"1995/11/11;00:00:00" 1211 <
"1995/11/12;00:00:00" 1175 <
"1995/11/13;00:00:00" 1143 <
"1995/11/14;00:00:00" 1130 <
"1995/11/15;00:00:00" 1113 <
"1995/11/16;00:00:00" 1103 <
"1995/11/17;00:00:00" 1114 <
"1995/11/18;00:00:00" 1171 <
"1995/11/19;00:00:00" 1247 <
"1995/11/20;00:00:00" 1546 <
"1995/11/21;00:00:00" 2200 <
"1995/11/22;00:00:00" 2333 <
"1995/11/23;00:00:00" 2185 <
"1995/11/24;00:00:00" 2018 <
"1995/11/25;00:00:00" 1887 <
"1995/11/26;00:00:00" 1769 <
"1995/11/27;00:00:00" 1688 <
"1995/11/28;00:00:00" 1635 <
"1995/11/29;00:00:00" 1594 <
"1995/11/30;00:00:00" 1529 <
"1995/12/01;00:00:00" 1477 <
"1995/12/02;00:00:00" 1459 <
"1995/12/03;00:00:00" 1421 <
"1995/12/04;00:00:00" 1393 <
"1995/12/05;00:00:00" 1362 <
"1995/12/06;00:00:00" 1320 <
"1995/12/07;00:00:00" 1292 <
"1995/12/08;00:00:00" 1265 <
"1995/12/09;00:00:00" 1244 <
"1995/12/10;00:00:00" 1221 <
"1995/12/11;00:00:00" 1193 <
"1995/12/12;00:00:00" 1182 <
"1995/12/13;00:00:00" 1167 <
"1995/12/14;00:00:00" 1148 <
"1995/12/15;00:00:00" 1117 <
"1995/12/16;00:00:00" 1119 <
"1995/12/17;00:00:00" 1104 <
"1995/12/18;00:00:00" 1076 <
"1995/12/19;00:00:00" 1075 <
"1995/12/20;00:00:00" 1076 <
"1995/12/21;00:00:00" 1116 <
"1995/12/22;00:00:00" 1127 <
"1995/12/23;00:00:00" 1260 <
"1995/12/24;00:00:00" 1552 <
"1995/12/25;00:00:00" 2143 <
"1995/12/26;00:00:00" 2971 <
"1995/12/27;00:00:00" 3583 <
"1995/12/28;00:00:00" 3854 <
"1995/12/29;00:00:00" 4039 <
"1995/12/30;00:00:00" 4112 <
"1995/12/31;00:00:00" 3844 <
